dogs_detected,timestamp,cameraID,confidence
0,2023-05-03 12:29:43.958618,2,nan
0,2023-05-03 12:32:09.806339,2,nan
0,2023-05-03 17:41:32.813297,5,nan
0,2023-05-03 17:41:43.780880,3,nan
0,2023-05-03 17:41:48.878858,4,nan
0,2023-05-03 17:41:53.181514,5,nan
0,2023-05-03 17:51:50.957528,5,nan
0,2023-05-03 17:51:56.851454,4,nan
0,2023-05-03 17:51:57.455314,5,nan
0,2023-05-03 17:55:31.495784,5,nan
0,2023-05-03 17:55:37.297750,3,nan
0,2023-05-03 17:55:37.833256,4,nan
0,2023-05-03 17:55:40.214612,5,nan
0,2023-05-03 17:59:26.084581,5,nan
0,2023-05-03 17:59:31.866628,4,nan
0,2023-05-03 17:59:32.441296,5,nan
0,2023-05-03 17:59:44.573207,3,nan
0,2023-05-03 17:59:44.819003,4,nan
0,2023-05-03 17:59:46.882077,5,nan
0,2023-05-03 17:59:56.629996,3,nan
0,2023-05-03 18:00:02.154235,4,nan
0,2023-05-03 18:00:02.507146,5,nan
0,2023-05-03 18:00:13.533077,3,nan
0,2023-05-03 18:00:15.948338,4,nan
0,2023-05-03 18:00:18.356720,5,nan
0,2023-05-03 18:00:28.002432,3,nan
0,2023-05-03 18:00:30.464399,4,nan
0,2023-05-03 18:00:32.859404,5,nan
0,2023-05-03 18:00:44.431011,3,nan
0,2023-05-03 18:00:47.445019,4,nan
0,2023-05-03 18:00:50.148466,5,nan
0,2023-05-03 18:00:59.491299,3,nan
0,2023-05-03 18:01:01.879208,4,nan
0,2023-05-03 18:01:04.471111,5,nan
0,2023-05-03 18:01:13.972227,3,nan
0,2023-05-03 18:01:16.416020,4,nan
0,2023-05-03 18:01:18.825178,5,nan
0,2023-05-03 18:04:11.668704,5,nan
0,2023-05-03 18:04:12.041325,3,nan
0,2023-05-03 18:04:12.171822,4,nan
0,2023-05-03 18:04:12.305302,5,nan
0,2023-05-03 18:04:41.478726,4,nan
0,2023-05-03 18:04:41.633564,5,nan
0,2023-05-03 18:04:56.257543,3,nan
